net,length_um
_036_,3.42µm
_050_,3.42µm
_023_,3.1µm
net57,3.08µm
_147_,3.06µm
_128_,2.96µm
_114_,2.64µm
_063_,2.62µm
_109_,2.62µm
_153_,2.52µm
_073_,2.5µm
_156_,2.5µm
_091_,2.18µm
_145_,2.16µm
_149_,2.04µm
_142_,1.84µm
_160_,1.72µm
_052_,1.7µm
_033_,1.38µm
_096_,1.38µm
_139_,1.38µm
_148_,1.38µm
_094_,1.26µm
_119_,1.02µm
_044_,0.92µm
_067_,0.46µm
