Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_0_62_41,VPWR,li1,27.1400,182.2400,1.799999
FILLER_0_62_29,VPWR,li1,21.6200,182.2400,1.799999
FILLER_0_62_27,VPWR,li1,18.1700,182.2400,1.799999
FILLER_0_62_21,VPWR,li1,16.5600,182.2400,1.799999
FILLER_0_62_14,VPWR,li1,12.4200,182.2400,1.799999
FILLER_0_62_6,VPWR,li1,10.1200,182.2400,1.799998
FILLER_0_61_293,VPWR,li1,141.6800,176.8000,1.799985
FILLER_0_61_281,VPWR,li1,137.5400,176.8000,1.799985
FILLER_0_61_279,VPWR,li1,134.0900,176.8000,1.799985
FILLER_0_61_273,VPWR,li1,132.4800,176.8000,1.799985
FILLER_0_61_261,VPWR,li1,128.3400,176.8000,1.799985
FILLER_0_61_249,VPWR,li1,122.8200,176.8000,1.799985
FILLER_0_61_237,VPWR,li1,117.3000,176.8000,1.799985
FILLER_0_61_225,VPWR,li1,111.7800,176.8000,1.799985
FILLER_0_61_223,VPWR,li1,108.3300,176.8000,1.799985
FILLER_0_61_217,VPWR,li1,106.7200,176.8000,1.799985
FILLER_0_61_205,VPWR,li1,102.5800,176.8000,1.799985
FILLER_0_61_193,VPWR,li1,97.0600,176.8000,1.799985
FILLER_0_61_181,VPWR,li1,91.5400,176.8000,1.799985
FILLER_0_61_169,VPWR,li1,86.0200,176.8000,1.799985
FILLER_0_61_166,VPWR,li1,82.3400,176.8000,1.799985
FILLER_0_61_158,VPWR,li1,80.0400,176.8000,1.799985
FILLER_0_61_146,VPWR,li1,75.4400,176.8000,1.799985
FILLER_0_61_134,VPWR,li1,69.9200,176.8000,1.799985
FILLER_0_61_122,VPWR,li1,64.4000,176.8000,1.799985
FILLER_0_61_113,VPWR,li1,57.9600,176.8000,1.799985
FILLER_0_61_111,VPWR,li1,56.8100,176.8000,1.799986
FILLER_0_61_105,VPWR,li1,55.2000,176.8000,1.799986
FILLER_0_61_93,VPWR,li1,51.0600,176.8000,1.799986
FILLER_0_61_81,VPWR,li1,45.5400,176.8000,1.799988
